,Shape *,Match,bridge,from,highway,length,name,oneway,osmid,to,Shape_Leng,OBJECTID,from_lng,from_lat,to_lng,to_lat,from_lat_mars,from_lng_mars,to_lat_mars,to_lng_mars,isShortest
1184,折线,1685, ,2414114511,secondary,1284.433,城南路,True,233066465,2414103565,1283.627403,1960737,120.3311794,31.5412768,120.3230669,31.5503828,31.53943055622799,120.3358218338346,31.54852190633636,120.3276974316936,1.0
1185,折线,2461, ,2414114511,secondary,11.356,新光路,True,412373757,2318367511,11.35783,1961030,120.3311794,31.5412768,120.3310916,31.5412073,31.53943055622799,120.3358218338346,31.53936088144751,120.3357338901002,1.0
1186,折线,3300, ,2318382528,secondary,11.278, ,True,412372560,2414114487,11.279993,1961364,120.3312036,31.5411108,120.3312905,31.5411801,31.53926458579616,120.3358460573972,31.53933405882132,120.3359330996882,0.0
1187,折线,161, ,2318382528,secondary,950.891999999999, ,True,233066056,740423922,950.743764,1960168,120.3312036,31.5411108,120.3380839,31.5348898,31.53926458579616,120.3358460573972,31.53305598411789,120.3427365225342,1.0
1188,折线,4499, ,2414114487,secondary,15.049,城南路,True,233066465,2414114511,15.048018,1961810,120.3312905,31.5411801,120.3311794,31.5412768,31.53933405882132,120.3359330996882,31.53943055622799,120.3358218338346,1.0
1189,折线,5169, ,2414114487,secondary,344.574, ,True,412372560,2318382527,344.625825,1962049,120.3312905,31.5411801,120.3339438,31.5432989,31.53933405882132,120.3359330996882,31.54145812765867,120.3385907359839,1.0
1190,折线,1204, ,2530667762,tertiary,372.469,广南路,True,59685406,740424072,371.567108,1960563,120.3313337,31.5856663,120.331049,31.5823254,31.58382360140605,120.335980227589,31.58048199567258,120.3356947907488,1.0
1191,折线,2984, ,2530667762,tertiary,1434.388,上马墩路,True,221018319,2530667764,1437.750891,1961239,120.3313337,31.5856663,120.3463465,31.585265,31.58382360140605,120.335980227589,31.58345023807074,120.3510158458868,1.0
1192,折线,4637, ,5181285823,secondary,507.235,兴源中路,True,534202103,5181285857,506.66992,1961856,120.3313521,31.5543653,120.3341104,31.5504794,31.55252059440926,120.3359959397228,31.54863961540805,120.3387582189904,0.0
1193,折线,1428, ,1749325147,trunk_link,201.439,北环路,True,163175387,1749302894,201.763906,1960643,120.3316619,31.6218479,120.3336021,31.6211107,31.62000673678372,120.3363120869522,31.61927323273707,120.338255262228,1.0
1194,折线,133, ,2456932140,tertiary,473.927,广南路,True,59685406,2530667762,472.778248,1960152,120.3316683,31.5899174,120.3313337,31.5856663,31.58807552704168,120.3363157216961,31.58382360140605,120.335980227589,0.0
1195,折线,3166, ,2456932140,primary,8.961, ,True,187546018,4198817503,8.981886,1961305,120.3316683,31.5899174,120.3317618,31.5899051,31.58807552704168,120.3363157216961,31.58806340509009,120.3364093672654,1.0
1196,折线,722, ,740424076,primary,312.467999999999,锡沪路,True,187546014,740424500,313.223175,1960392,120.3316727,31.5900482,120.3283796,31.5899554,31.58820634084112,120.336320139959,31.58810723731625,120.3330218619889,1.0
1197,折线,4678, ,740424076,tertiary,14.55,广南路,True,59685406,2456932140,14.514729,1961872,120.3316727,31.5900482,120.3316683,31.5899174,31.58820634084112,120.336320139959,31.58807552704168,120.3363157216961,0.0
1198,折线,2151, ,2367113947,tertiary,423.144,广南路,True,59685406,2565892945,422.110101,1960922,120.3316849,31.6022502,120.3317932,31.5984459,31.60040877861713,120.3363334192671,31.59660457502384,120.3364415585375,1.0
1199,折线,2636, ,4198817503,tertiary,16.888,广南路,True,419890752,4198817990,16.846961,1961093,120.3317618,31.5899051,120.3317658,31.5900327,31.58806340509009,120.3364093672654,31.58819101799464,120.3364133846224,1.0
1200,折线,4806, ,4198817503,primary,1416.004, ,True,187546018,1619079042,1419.055864,1961914,120.3317618,31.5899051,120.3462724,31.5877327,31.58806340509009,120.3364093672654,31.58591791788792,120.3509418539982,1.0
1201,折线,2712,yes,1749325169,trunk_link,190.025,北环路,True,"[163175376, 163175381, 163175384]",1749325202,190.360462,1961128,120.3317625,31.6221374,120.3298987,31.6227701,31.62029643005172,120.336412869961,31.62092556901661,120.3345461985331,0.0
1202,折线,1753, ,1749325169,trunk_link,58.315, ,True,163175361,1749325176,58.442893,1960761,120.3317625,31.6221374,120.3311619,31.6222535,31.62029643005172,120.336412869961,31.62041138310069,120.3358113375066,1.0
1203,折线,4755, ,4198817990,primary,8.985,锡沪路,True,187546014,740424076,9.005357,1961898,120.3317658,31.5900327,120.3316727,31.5900482,31.58819101799464,120.3364133846224,31.58820634084112,120.336320139959,1.0
1204,折线,3147, ,4198817990,tertiary,1359.428,广南路,True,419890752,4198817956,1356.108722,1961297,120.3317658,31.5900327,120.3317788,31.6022521,31.58819101799464,120.3364133846224,31.60041085798504,120.3364274667148,1.0
1205,折线,2755, ,2565892945,tertiary,337.097,广南路,True,59685406,740424056,336.273067,1961143,120.3317932,31.5984459,120.3318567,31.5954148,31.59660457502384,120.3364415585375,31.59357349612389,120.3365048947463,0.0
1206,折线,4558, ,2367105437,tertiary,357.012,广南路,True,59685406,740424076,356.143002,1961831,120.3318456,31.5932546,120.3316727,31.5900482,31.59141319694396,120.3364935896571,31.58820634084112,120.336320139959,1.0
1207,折线,493, ,740424056,secondary,204.809, ,True,301625851,2927033251,205.299248,1960294,120.3318567,31.5954148,120.3297033,31.595583,31.59357349612389,120.3365048947463,31.59373758498005,120.3343481292045,1.0
1208,折线,1592, ,740424056,tertiary,240.238,广南路,True,59685406,2367105437,239.650361,1960704,120.3318567,31.5954148,120.3318456,31.5932546,31.59357349612389,120.3365048947463,31.59141319694396,120.3364935896571,0.0
1209,折线,1319, ,4198640521,tertiary,1839.363, ,True,419872189,4198636435,1843.712208,1960602,120.331857,31.5983909,120.3511552,31.5994176,31.59654969512199,120.3365054538124,31.59761178248522,120.3558325172917,1.0
1210,折线,5122, ,1750895051,secondary_link,9.894, ,True,163383719,1750895050,9.917621,1962029,120.3321784,31.6181686,120.3322824,31.61816,31.61632839988832,120.3368290770615,31.61631999826433,120.3369332393526,1.0
1211,折线,4719, ,1750895051,primary,41.339,锡港路,True,163233325,1750895081,41.309073,1961885,120.3321784,31.6181686,120.332438,31.6184675,31.61632839988832,120.3368290770615,31.61662779762091,120.3370891099769,1.0
1212,折线,4083,yes,1750895086,secondary_link,465.724999999999, ,True,"[163383718, 163383710, 163383711]",1750895079,466.836531,1961651,120.3322502,31.6184831,120.3273538,31.6184447,31.6166430394649,120.3369010169754,31.61659527282954,120.331996926301,0.0
1213,折线,5249, ,1750895086,primary_link,214.077,锡港路,True,163233322,1750894944,213.922382,1962082,120.3322502,31.6184831,120.3309073,31.6169343,31.6166430394649,120.3369010169754,31.61509166073785,120.3355558752846,1.0
1214,折线,3210, ,1750895050,primary_link,41.333,锡港路,True,163233320,1750895080,41.30338,1961329,120.3322824,31.61816,120.3325419,31.6184589,31.61631999826433,120.3369332393526,31.61661939571893,120.3371931720424,0.0
1215,折线,1836, ,1750895050,secondary_link,384.174, ,True,163383719,1750895021,385.066063,1960797,120.3322824,31.61816,120.336295,31.6176753,31.61631999826433,120.3369332393526,31.61584291513074,120.3409520571255,1.0
1216,折线,4026,yes,2315644468,trunk_link,52.199, ,True,262513809,5181285617,52.187486,1961630,120.3323176,31.5528349,120.3326899,31.5524889,31.55099190744568,120.3369628202813,31.55064658761518,120.337335673214,1.0
1217,折线,580,viaduct,2315644468,"['secondary', 'primary_link']",312.848,兴源中路,True,"[262513818, 262513812]",5181285857,312.534609,1960325,120.3323176,31.5528349,120.3341104,31.5504794,31.55099190744568,120.3369628202813,31.54863961540805,120.3387582189904,0.0
1218,折线,2568, ,1750895083,primary,219.072,锡港路,True,163233321,1750894939,218.914152,1961074,120.3323483,31.6184749,120.330974,31.61689,31.61663502656706,120.3369992700357,31.61504748781289,120.3356226761555,1.0
1219,折线,4486, ,1750895083,secondary_link,9.334, ,True,163383710,1750895086,9.355909,1961805,120.3323483,31.6184749,120.3322502,31.6184831,31.61663502656706,120.3369992700357,31.6166430394649,120.3369010169754,0.0
1220,折线,3017, ,1750895081,secondary_link,8.533, ,True,163383710,1750895083,8.553758,1961247,120.332438,31.6184675,120.3323483,31.6184749,31.61662779762091,120.3370891099769,31.61663502656706,120.3369992700357,0.0
1221,折线,1750, ,1750895081,primary,213.996,锡港路,True,163233325,1749766776,213.850431,1960758,120.332438,31.6184675,120.333797,31.6200047,31.61662779762091,120.3370891099769,31.6181675973374,120.3384503706596,1.0
1222,折线,4147, ,1750895080,secondary_link,9.885, ,True,163383710,1750895081,9.908166,1961674,120.3325419,31.6184589,120.332438,31.6184675,31.61661939571893,120.3371931720424,31.61662779762091,120.3370891099769,1.0
1223,折线,4096, ,1750895080,primary_link,209.497,锡港路,True,163233320,1749766776,209.317493,1961657,120.3325419,31.6184589,120.333797,31.6200047,31.61661939571893,120.3371931720424,31.6181675973374,120.3384503706596,1.0
1224,折线,280,yes,5181285617,primary,889.713,兴源中路,True,"[534202099, 534202093]",5181285841,888.898118,1960219,120.3326899,31.5524889,120.3379446,31.5458696,31.55064658761518,120.337335673214,31.54403663711645,120.3425979616689,1.0
1225,折线,3087, ,5181285828,secondary,252.272,兴源中路,True,534202104,5181285823,252.04055,1961273,120.3328234,31.5525028,120.3313521,31.5543653,31.55066074330911,120.3374693833608,31.55252059440926,120.3359959397228,0.0
1226,折线,1660, ,679059322,motorway,75.277,沪宁高速,True,53792180,3240415965,75.210202,1960729,120.3330303,31.6281992,120.3334781,31.6276398,31.62636065063255,120.3376831843521,31.62580210497549,120.338131636419,0.0
1227,折线,4764,yes,3240415965,motorway,1057.27,沪宁高速,True,"[187715648, 187715725, 239316814, 239316816, 53792180]",3225372456,1056.691567,1961902,120.3334781,31.6276398,120.3404288,31.6202121,31.62580210497549,120.338131636419,31.61838747617887,120.345092422304,0.0
1228,折线,2726,yes,1983465174,motorway,1949.45799999999,沪宁高速,True,"[62686684, 187715781, 187715702]",1983465380,515.254208,1961132,120.3335883,31.6278305,120.3223127,31.6424535,31.62599301422913,120.3382420253538,31.64059431187017,120.3269500485071,1.0
1229,折线,4622, ,1983465174,motorway,485.681, ,True,163175772,1749357550,202.724838,1961849,120.3335883,31.6278305,120.3313409,31.6317471,31.62599301422913,120.3382420253538,31.62990530889067,120.3359914442395,0.0
1230,折线,168, ,1749302894,trunk_link,95.529, ,True,163174117,1749302827,95.354112,1960170,120.3336021,31.6211107,120.3339064,31.6203093,31.61927323273707,120.338255262228,31.61847240724948,120.3385599681023,1.0
1231,折线,3177, ,1749302894,trunk_link,76.845,北环路,True,"[163175387, 163174111]",1749766782,76.930094,1961313,120.3336021,31.6211107,120.3342946,31.6207506,31.61927323273707,120.338255262228,31.61891444759434,120.3389488126853,1.0
1232,折线,1956,yes,1750895059,primary,594.538,锡宁路,True,"[163383705, 163383707]",1750895079,595.971451,1960848,120.3336182,31.6182555,120.3273538,31.6184447,31.61641804449956,120.3382711390069,31.61659527282954,120.331996926301,1.0
1233,折线,2242, ,1750895059,primary,261.933,锡宁路,True,163383697,1750895031,262.520948,1960947,120.3336182,31.6182555,120.3363307,31.617802,31.61641804449956,120.3382711390069,31.61596968366453,120.3409878234885,0.0
1234,折线,1385, ,1749302915,trunk_link,205.322,北环路,True,163174114,1749325169,205.648243,1960625,120.3337335,31.6213732,120.3317625,31.6221374,31.61953598401677,120.3383868904795,31.62029643005172,120.336412869961,1.0
1235,折线,5199, ,1749766776,primary,95.464,锡港路,True,163233323,1749766781,95.397133,1962059,120.333797,31.6200047,120.3343996,31.620693,31.6181675973374,120.3384503706596,31.61885704673219,120.3390539715241,1.0
1236,折线,1713, ,2318367519,secondary,342.758,新光路,True,412373757,2414114511,342.815441,1960746,120.3338286,31.5433754,120.3311794,31.5412768,31.5415344160716,120.3384753627886,31.53943055622799,120.3358218338346,1.0
1237,折线,2931, ,1749302827,primary_link,257.168,锡港路,True,163233322,1750895086,257.009353,1961220,120.3339064,31.6203093,120.3322502,31.6184831,31.61847240724948,120.3385599681023,31.6166430394649,120.3369010169754,1.0
1238,折线,4899, ,1749302827,primary,251.859,锡港路,True,163233321,1750895083,251.666868,1961948,120.3339064,31.6203093,120.3323483,31.6184749,31.61847240724948,120.3385599681023,31.61663502656706,120.3369992700357,1.0
1239,折线,1526,yes,2073512329,tertiary,523.875, ,False,"[197060616, 197060518, 197060622]",2073512214,240.422051,1960677,120.3339416,31.6320177,120.3287146,31.6305293,31.63018086527434,120.3385962420025,31.62868249216334,120.3333609129167,1.0
1240,折线,40, ,2318382527,secondary_link,471.073, ,True,412373762,5181285856,471.480544,1960112,120.3339438,31.5432989,120.3380392,31.5456883,31.54145812765867,120.3385907359839,31.54385549742636,120.3426926913299,1.0
1241,折线,4087,yes,2318382527,secondary,1029.663, ,True,"[412372560, 222894626, 412375192]",4138215470,1030.6142,1961654,120.3339438,31.5432989,120.3429743,31.5484225,31.54145812765867,120.3385907359839,31.5465990994733,120.3476354994989,1.0
1242,折线,3406, ,5181285857,secondary,628.691,兴源中路,True,534202105,5181285838,628.132209,1961412,120.3341104,31.5504794,120.3378466,31.545822,31.54863961540805,120.3387582189904,31.5439888486531,120.3424998068335,1.0
1243,折线,3290,viaduct,2405175622,primary,765.694, ,True,"[534202024, 232146543]",2405159513,195.832434,1961359,120.3341612,31.5258401,120.3359895,31.5325473,31.52399784334354,120.3388069610426,31.53070928275491,120.340638686275,1.0
1244,折线,707, ,1749766782,primary,61.3109999999999,锡港路,True,163233324,1749302827,61.268539,1960383,120.3342946,31.6207506,120.3339064,31.6203093,31.61891444759434,120.3389488126853,31.61847240724948,120.3385599681023,1.0
1245,折线,3084, ,1749766782,trunk_link,11.827,北环路,True,163174111,1749766781,11.8383,1961272,120.3342946,31.6207506,120.3343996,31.620693,31.61891444759434,120.3389488126853,31.61885704673219,120.3390539715241,0.0
1246,折线,2731, ,1749766781,primary,34.684,锡港路,True,163233323,1749766783,34.659901,1961135,120.3343996,31.620693,120.3346185,31.6209431,31.61885704673219,120.3390539715241,31.61910756369051,120.3392732347182,1.0
