OBJECTID,from_lng_mars,from_lat_mars,to_lng_mars,to_lat_mars,isOK
558,120.310601,31.550053,120.310424,31.550218,1
561,120.306645,31.544848,120.305716,31.546446,1
563,120.307008,31.553358,120.305956,31.554341,1
563,120.305862,31.554236,120.306905,31.553269,1
564,120.307945,31.545656,120.307462,31.545283,1
565,120.311815,31.548776,120.313068,31.547638,1
565,120.313115,31.54773,120.311895,31.548858,1
566,120.311978,31.548779,120.31178,31.54881,1
566,120.311865,31.548885,120.310646,31.55001,1
567,120.3144027,31.55093788,120.3118507,31.54879839,1
568,120.302899,31.546207,120.304021,31.545287,1
568,120.304021,31.545287,120.302985,31.546255,1
571,120.30528,31.564014,120.306055,31.561792,1
572,120.295889,31.55112,120.297496,31.551534,1
572,120.297391,31.551616,120.295796,31.551196,1
573,120.3244533,31.58665607,120.3207468,31.58631122,1
575,120.324723,31.58857536,120.315395,31.58919276,1
576,120.294496,31.588402,120.292929,31.589121,1
576,120.292911,31.589029,120.29444,31.588331,1
577,120.295662,31.585454,120.294707,31.588249,1
577,120.294718,31.588116,120.295575,31.585578,1
578,120.294433,31.588261,120.290959,31.58493,1
579,120.296936,31.590873,120.296397,31.590281,1
580,120.285166,31.594071,120.275491,31.596166,1
580,120.275658,31.59615,120.285227,31.593971,1
581,120.286018,31.594708,120.285451,31.594286,1
581,120.285542,31.594182,120.2861,31.594616,1
590,120.2750483,31.59581864,120.2625794,31.58470429,1
591,120.2839116,31.60560836,120.2750483,31.59581864,1
592,120.2827327,31.59644279,120.2850397,31.59411097,1
593,120.2818704,31.59716194,120.2827327,31.59644279,1
594,120.270975,31.591709,120.275135,31.589409,1
594,120.275203,31.589492,120.2713,31.592038,1
595,120.282625,31.58588478,120.2752352,31.58945076,1
599,120.2675,31.584533,120.270493,31.581685,1
599,120.270591,31.581713,120.267523,31.5846,1
600,120.267669,31.588432,120.274371,31.584846,1
600,120.274479,31.58493,120.267822,31.588527,1
601,120.274433,31.584793,120.27486,31.584447,1
601,120.274964,31.584535,120.274536,31.58488,1
602,120.274534,31.584938,120.274916,31.585231,1
610,120.3456462,31.57025657,120.3387296,31.57427604,1
611,120.3456462,31.57025657,120.3440675,31.57178283,1
