OBJECTID,distance,duation,status,time
1402,472.000000,76.000000,畅通,<module 'time' (built-in)>
1404,166.000000,14.000000,畅通,<module 'time' (built-in)>
1407,345.000000,67.000000,畅通,<module 'time' (built-in)>
1412,224.000000,38.000000,畅通,<module 'time' (built-in)>
1414,138.000000,17.000000,畅通,<module 'time' (built-in)>
1418,397.000000,35.000000,畅通,<module 'time' (built-in)>
1426,410.000000,28.000000,畅通,<module 'time' (built-in)>
1437,243.000000,63.000000,畅通,<module 'time' (built-in)>
1441,530.000000,45.000000,畅通,<module 'time' (built-in)>
1442,214.000000,28.000000,畅通,<module 'time' (built-in)>
1443,185.000000,22.000000,畅通,<module 'time' (built-in)>
1449,133.000000,35.000000,畅通,<module 'time' (built-in)>
1466,134.000000,35.000000,畅通,<module 'time' (built-in)>
1475,311.000000,70.000000,畅通,<module 'time' (built-in)>
1479,621.000000,55.000000,畅通,<module 'time' (built-in)>
1481,420.000000,49.000000,畅通,<module 'time' (built-in)>
1489,150.000000,28.000000,畅通,<module 'time' (built-in)>
1496,234.000000,38.000000,畅通,<module 'time' (built-in)>
1500,607.000000,84.000000,畅通,<module 'time' (built-in)>
1506,126.000000,16.000000,畅通,<module 'time' (built-in)>
1507,144.000000,27.000000,畅通,<module 'time' (built-in)>
1520,427.000000,29.000000,畅通,<module 'time' (built-in)>
1534,178.000000,41.000000,畅通,<module 'time' (built-in)>
1548,168.000000,33.000000,畅通,<module 'time' (built-in)>
1549,572.000000,38.000000,畅通,<module 'time' (built-in)>
1563,582.000000,71.000000,畅通,<module 'time' (built-in)>
1565,439.000000,45.000000,畅通,<module 'time' (built-in)>
1566,215.000000,18.000000,畅通,<module 'time' (built-in)>
1581,162.000000,11.000000,畅通,<module 'time' (built-in)>
1595,148.000000,7.000000,畅通,<module 'time' (built-in)>
1644,338.000000,52.000000,畅通,<module 'time' (built-in)>
1653,399.000000,32.000000,畅通,<module 'time' (built-in)>
1655,406.000000,35.000000,畅通,<module 'time' (built-in)>
1656,384.000000,57.000000,畅通,<module 'time' (built-in)>
