OBJECTID,distance,duration,status,time
1160,580,79,畅通,Fri Mar  9 11:46:51 2018
1161,957,118,畅通,Fri Mar  9 11:46:52 2018
1163,520,73,畅通,Fri Mar  9 11:46:52 2018
1164,152,71,畅通,Fri Mar  9 11:46:52 2018
1165,112,11,畅通,Fri Mar  9 11:46:52 2018
1169,124,27,畅通,Fri Mar  9 11:46:52 2018
1184,421,70,畅通,Fri Mar  9 11:46:52 2018
1185,160,49,畅通,Fri Mar  9 11:46:52 2018
1187,555,77,畅通,Fri Mar  9 11:46:53 2018
1188,343,56,畅通,Fri Mar  9 11:46:53 2018
1190,114,35,未知,Fri Mar  9 11:46:53 2018
1192,239,23,畅通,Fri Mar  9 11:46:53 2018
1193,168,36,畅通,Fri Mar  9 11:46:53 2018
1194,251,26,畅通,Fri Mar  9 11:46:53 2018
1196,148,47,畅通,Fri Mar  9 11:46:53 2018
1199,212,56,畅通,Fri Mar  9 11:46:53 2018
1298,267,62,畅通,Fri Mar  9 11:46:54 2018
1300,218,15,畅通,Fri Mar  9 11:46:54 2018
1301,219,17,畅通,Fri Mar  9 11:46:54 2018
1304,346,53,畅通,Fri Mar  9 11:46:54 2018
1308,222,17,畅通,Fri Mar  9 11:46:54 2018
1309,609,42,畅通,Fri Mar  9 11:46:54 2018
1312,294,35,畅通,Fri Mar  9 11:46:54 2018
1313,166,16,畅通,Fri Mar  9 11:46:54 2018
1316,200,18,畅通,Fri Mar  9 11:46:55 2018
1320,147,16,畅通,Fri Mar  9 11:46:55 2018
1326,200,19,畅通,Fri Mar  9 11:46:55 2018
1327,209,15,畅通,Fri Mar  9 11:46:55 2018
1328,399,38,畅通,Fri Mar  9 11:46:55 2018
1331,267,26,畅通,Fri Mar  9 11:46:55 2018
1332,122,12,畅通,Fri Mar  9 11:46:55 2018
1334,275,25,畅通,Fri Mar  9 11:46:56 2018
1337,327,51,畅通,Fri Mar  9 11:46:56 2018
1342,132,18,畅通,Fri Mar  9 11:46:56 2018
1351,146,31,缓行,Fri Mar  9 11:46:56 2018
1356,121,8,畅通,Fri Mar  9 11:46:56 2018
1357,615,39,畅通,Fri Mar  9 11:46:56 2018
1358,153,28,畅通,Fri Mar  9 11:46:56 2018
1402,472,68,畅通,Fri Mar  9 11:46:56 2018
1403,171,13,畅通,Fri Mar  9 11:46:57 2018
1407,345,44,畅通,Fri Mar  9 11:46:57 2018
1412,224,33,畅通,Fri Mar  9 11:46:57 2018
1414,138,16,畅通,Fri Mar  9 11:46:57 2018
1418,397,21,畅通,Fri Mar  9 11:46:57 2018
1424,309,51,畅通,Fri Mar  9 11:46:57 2018
1425,216,16,畅通,Fri Mar  9 11:46:57 2018
1426,410,28,畅通,Fri Mar  9 11:46:57 2018
1437,243,53,畅通,Fri Mar  9 11:46:58 2018
1441,530,52,畅通,Fri Mar  9 11:46:58 2018
1442,214,29,畅通,Fri Mar  9 11:46:58 2018
1443,185,16,畅通,Fri Mar  9 11:46:58 2018
1449,133,31,畅通,Fri Mar  9 11:46:58 2018
1465,315,62,畅通,Fri Mar  9 11:46:58 2018
1466,134,34,畅通,Fri Mar  9 11:46:58 2018
1475,311,55,畅通,Fri Mar  9 11:46:58 2018
1479,621,56,畅通,Fri Mar  9 11:46:59 2018
1481,420,45,畅通,Fri Mar  9 11:46:59 2018
1482,676,71,畅通,Fri Mar  9 11:46:59 2018
1484,276,34,未知,Fri Mar  9 11:46:59 2018
1489,150,44,畅通,Fri Mar  9 11:46:59 2018
1496,234,33,畅通,Fri Mar  9 11:46:59 2018
1500,607,101,畅通,Fri Mar  9 11:46:59 2018
1503,156,24,畅通,Fri Mar  9 11:46:59 2018
1506,126,18,畅通,Fri Mar  9 11:47:00 2018
1507,144,24,畅通,Fri Mar  9 11:47:00 2018
1509,600,55,畅通,Fri Mar  9 11:47:00 2018
1520,427,27,畅通,Fri Mar  9 11:47:00 2018
1534,178,33,畅通,Fri Mar  9 11:47:00 2018
1535,623,66,畅通,Fri Mar  9 11:47:00 2018
1539,956,202,畅通,Fri Mar  9 11:47:00 2018
1540,956,202,畅通,Fri Mar  9 11:47:00 2018
1548,168,15,畅通,Fri Mar  9 11:47:01 2018
1549,572,35,畅通,Fri Mar  9 11:47:01 2018
1550,216,40,畅通,Fri Mar  9 11:47:01 2018
1563,582,64,畅通,Fri Mar  9 11:47:01 2018
1565,439,43,畅通,Fri Mar  9 11:47:01 2018
1566,215,18,畅通,Fri Mar  9 11:47:01 2018
1581,162,11,畅通,Fri Mar  9 11:47:01 2018
1585,113,24,未知,Fri Mar  9 11:47:02 2018
1595,148,7,畅通,Fri Mar  9 11:47:02 2018
1640,350,58,畅通,Fri Mar  9 11:47:02 2018
1641,147,18,畅通,Fri Mar  9 11:47:02 2018
1644,338,47,畅通,Fri Mar  9 11:47:02 2018
1653,399,32,畅通,Fri Mar  9 11:47:02 2018
1655,406,34,畅通,Fri Mar  9 11:47:02 2018
1656,384,49,畅通,Fri Mar  9 11:47:05 2018
1669,379,36,畅通,Fri Mar  9 11:47:06 2018
1677,231,34,畅通,Fri Mar  9 11:47:06 2018
1693,454,52,畅通,Fri Mar  9 11:47:06 2018
1696,202,28,畅通,Fri Mar  9 11:47:06 2018
1697,149,34,畅通,Fri Mar  9 11:47:06 2018
1699,691,83,畅通,Fri Mar  9 11:47:06 2018
1701,153,27,畅通,Fri Mar  9 11:47:06 2018
1707,183,34,畅通,Fri Mar  9 11:47:07 2018
1709,175,35,畅通,Fri Mar  9 11:47:07 2018
1723,249,25,畅通,Fri Mar  9 11:47:07 2018
1732,538,69,畅通,Fri Mar  9 11:47:07 2018
1735,1449,175,畅通,Fri Mar  9 11:47:07 2018
1740,691,67,畅通,Fri Mar  9 11:47:07 2018
1742,483,55,畅通,Fri Mar  9 11:47:07 2018
1743,115,10,畅通,Fri Mar  9 11:47:07 2018
1754,120,10,畅通,Fri Mar  9 11:47:08 2018
1777,153,15,畅通,Fri Mar  9 11:47:08 2018
1778,727,64,畅通,Fri Mar  9 11:47:08 2018
1779,255,23,畅通,Fri Mar  9 11:47:08 2018
1783,394,33,畅通,Fri Mar  9 11:47:08 2018
1798,441,51,畅通,Fri Mar  9 11:47:08 2018
1806,836,49,畅通,Fri Mar  9 11:47:08 2018
1808,302,34,畅通,Fri Mar  9 11:47:08 2018
1827,584,46,畅通,Fri Mar  9 11:47:09 2018
1836,587,49,畅通,Fri Mar  9 11:47:09 2018
1839,202,15,畅通,Fri Mar  9 11:47:09 2018
1850,134,13,畅通,Fri Mar  9 11:47:09 2018
1851,152,22,缓行,Fri Mar  9 11:47:09 2018
1857,230,42,缓行,Fri Mar  9 11:47:09 2018
1864,217,37,畅通,Fri Mar  9 11:47:09 2018
1867,591,65,畅通,Fri Mar  9 11:47:09 2018
1871,215,28,畅通,Fri Mar  9 11:47:10 2018
