OBJECTID,access,bridge,from_,highway,key,lanes,length,maxspeed,name,oneway,osmid,ref,to,tunnel,Shape_Length,from_lat,from_lng,to_lng,to_lat,from_lat_mars,from_lng_mars,to_lat_mars,to_lng_mars
1134, , ,2524226039,residential,0, ,55.24247029530198, ,棚下街,False,221165659, ,2302212551, ,55.18681163083978,31.5721083,120.2874315,120.287118,31.571689399999997,31.570189240226966,120.29201888167344,31.569769904892155,120.29170509338098
1135, , ,2556637596,residential,0, ,23.30466664086207, ,振新路,False,299285376, ,2302212554, ,23.27175128974911,31.5711622,120.28868090000002,120.2887929,31.5709756,31.569244737462803,120.29326923814465,31.569058276174665,120.29338131765346
1136, , ,2302213244,residential,0, ,362.00451411674453, ,振新路,False,299285376, ,2302212554, ,361.81136072738093,31.5684675,120.291084,120.2887929,31.5709756,31.566553167044585,120.29567424636896,31.569058276174665,120.29338131765346
1137, , ,2697574074,residential,0, ,14.879141560512553, ,振新路,False,299285376, ,2302213244, ,14.895344985307753,31.5683973,120.29121770000002,120.291084,31.5684675,31.56648315073248,120.2958080648315,31.566553167044585,120.29567424636896
1138, , ,2515936892,secondary,0, ,199.9730283102052, ,健康路,True,264083433, ,2302213244, ,199.7586942109957,31.5699945,120.2921887,120.291084,31.5684675,31.568081838455146,120.29678012350644,31.566553167044585,120.29567424636896
1139, , ,2302224138,tertiary,0, ,259.4773875041351, ,健康路,False,146661804, ,2302215681, ,259.6866819904341,31.5662282,120.28334879999998,120.2811294,31.5675613,31.564303645149753,120.2879326576575,31.565634268581906,120.28571198228242
1140, , ,2302221689,secondary,0, ,33.17663980761079, ,学前西路,False,221166547, ,2302215682, ,33.126424014733416,31.5678003,120.2844886,120.2846396,31.5680695,31.565877229984068,120.28907337646255,31.56614663346398,120.2892245069127
1141, , ,2302220387,secondary,0, ,79.71631829806384, ,湖滨路,True,221166545, ,2409555371, ,79.52555025173886,31.5604583,120.28015659999998,120.28009240000002,31.5597435,31.558529675830716,120.28473801935631,31.557814750526344,120.28467372270356
1142, , ,2302220394,secondary,0, ,97.45414302978328, ,湖滨路,True,221166545, ,2302220387, ,97.34142068051166,31.5612104,120.2796563,120.28015659999998,31.560458299999997,31.559281290312253,120.2842375142427,31.558529675830712,120.28473801935631
1143, , ,2302230333,secondary,0, ,352.01270921452317, ,湖滨路,False,245936328, ,2302220394, ,351.8601793742904,31.563649800000004,120.2772883,120.2796563,31.5612104,31.561718410057775,120.2818685771939,31.559281290312253,120.2842375142427
