OBJECTID,highway,lat,lon,osmid
350, ,31.5613494,120.3092954,1772577584
351, ,31.5838214,120.2918079,1772577588
352, ,31.5641159,120.3063357,1772577598
353, ,31.5721073,120.2916319,1913213687
354, ,31.5733703,120.2888508,1913213691
355, ,31.5769852,120.2913835,1913213695
356, ,31.5770483,120.2884908,1913213697
357, ,31.5683409,120.315308,1982082992
358, ,31.568418,120.3152322,1982082995
359, ,31.5686384,120.3158773,1982082997
360, ,31.5687137,120.3157936,1982082998
361, ,31.5691779,120.3165331,1982083001
362, ,31.5690949,120.3165655,1982083002
363, ,31.5699191,120.3175879,1982083010
364, ,31.5717109,120.3284373,1982083071
365, ,31.5742256,120.325506,1982083119
366, ,31.5743305,120.3254279,1982083122
367, ,31.5756009,120.3347796,1982083146
368, ,31.5765673,120.3328331,1982083195
369, ,31.5767533,120.3327883,1982083222
370, ,31.5775192,120.3306551,1982083268
371, ,31.5775569,120.3305798,1982083273
372, ,31.5779176,120.3307203,1982083315
373, ,31.578072,120.3380627,1982083338
374, ,31.5780777,120.3389248,1982083349
375, ,31.5801261,120.3275089,1982083492
376, ,31.5803736,120.3268731,1982083513
377, ,31.5840155,120.3257015,1982083624
378, ,31.5851383,120.3260041,1982083670
379, ,31.5777539,120.3406074,1983463785
380, ,31.5428287,120.2659157,2056663867
381, ,31.5429824,120.265894,2056663874
382, ,31.5508455,120.2655618,2056664164
383, ,31.5508481,120.2652924,2056664167
384, ,31.5867334,120.3030015,2073509914
385, ,31.5897798,120.3038852,2073509953
386, ,31.589879,120.3037791,2073509959
387, ,31.5900621,120.3244218,2073509991
388, ,31.5909727,120.3099235,2073510027
389, ,31.5925871,120.3046358,2073510130
390, ,31.5926793,120.3043259,2073510142
391, ,31.5946399,120.2947795,2073510217
392, ,31.5951825,120.2938787,2073510275
393, ,31.596526,120.305235,2073510408
394, ,31.5965467,120.2955225,2073510422
395, ,31.5966464,120.3053616,2073510437
396, ,31.5972637,120.2959312,2073510504
397, ,31.5988325,120.3148384,2073510594
398, ,31.5985839,120.2895443,2073510603
399, ,31.5997564,120.2883423,2073510720
400, ,31.6001444,120.2975971,2073510740
401, ,31.6016735,120.2984151,2073510789
402, ,31.6062222,120.309386,2073510984
403, ,31.6079699,120.309852,2073511045
404, ,31.577268,120.306455,2299960357
405, ,31.5758883,120.306586,2299960359
406, ,31.577986,120.306286,2299960368
407, ,31.5776931,120.3063428,2299960370
408, ,31.570491,120.3062127,2299963114
409, ,31.5673312,120.3057646,2299963115
410, ,31.5705286,120.3033605,2299973282
411, ,31.573378,120.2787843,2300004620
412, ,31.5739127,120.2804016,2300004623
413, ,31.5722925,120.2775022,2300004626
414, ,31.5748857,120.2804988,2300004643
415, ,31.5684763,120.280321,2300008495
416, ,31.5692854,120.2819702,2300008501
417, ,31.5744108,120.2755059,2300008505
418, ,31.5865602,120.2912485,2300043576
419, ,31.5880415,120.2910535,2300046696
420, ,31.5894759,120.2907061,2300046697
421, ,31.5869806,120.2910232,2300046698
422, ,31.5658279,120.3079388,2300376163
423, ,31.5653301,120.3084878,2300376164
424, ,31.5788071,120.2884867,2300381106
425, ,31.541655,120.3022958,2300649753
426, ,31.549633,120.2946845,2300649757
