OBJECTID,access,bridge,from_,highway,key,lanes,length,maxspeed,name,oneway,osmid,ref,to,tunnel,Shape_Length,from_lat,from_lng,to_lng,to_lat
1631, , ,2468508126,primary,0,2,50.565507475577505, ,运河西路,True,244132060, ,2530802157, ,50.45225153669246,31.587537,120.27830549999999,120.27820439999999,2530802157
1632, , ,2468508128,primary,0,2,21.03842859870958, ,运河西路,True,244132060, ,2468508126, ,20.989399269065206,31.5877243,120.2783369,120.27830549999999,2468508126
1633, , ,2480797916,residential,0, ,333.390314458577, ,沙文丼,False,"[302561099, 240333429]", ,2480797913, ,332.931371062229,31.5817027,120.295768,120.29654029999999,2480797913
1634, , ,2480799479,residential,0, ,204.0175281967454, ,界泾桥弄,False,240333690, ,2480799472, ,204.4993226607179,31.5573028,120.3125238,120.3103888,2480799472
1635, , ,2480799480,residential,0, ,214.73226275327636, ,界泾桥弄,False,240333690, ,2480799472, ,215.22663629656697,31.5568047,120.3081557,120.3103888,2480799472
1636, , ,2857806189,service,0, ,186.12180293477982, ,蜻蜓浜,False,281804399, ,2480799475, ,186.3000681603839,31.555911,120.31468970000002,120.3130582,2480799475
1637, , ,2857806192,residential,0, ,109.49460168331059, ,界泾桥弄,False,240333691, ,2480799475, ,109.2533271797985,31.5540593,120.31329779999999,120.3130582,2480799475
1638, , ,2480799479,residential,0, ,259.02278127675083, ,界泾桥弄,False,240333691, ,2480799475, ,258.4406454548526,31.5573028,120.3125238,120.3130582,2480799475
1639, , ,2857806189,"['residential', 'unclassified']",0, ,287.2814353890265, ,"['界泾桥弄', '南长街']",False,"[240333690, 222893564]", ,2480799479, ,287.31281307226163,31.555911,120.31468970000002,120.3125238,2480799479
1640, , ,2480799480,secondary,0,2,347.5205097430008, ,通扬南路,True,281804774, ,2857751505, ,347.10716780721606,31.5568047,120.3081557,120.3099527,2857751505
1641, , ,2857750436,secondary,0,2,141.80219914662413, ,通扬南路,True,281804774, ,2480799480, ,141.94661236154863,31.5574941,120.3068976,120.3081557,2480799480
1642, , ,3028847707,secondary,0, ,369.310660203433, ,兴昌路,False,232142004, ,2497068255, ,369.1395571088229,31.6046726,120.2835797,120.2860462,2497068255
1643, , ,2864488288,secondary,0, ,305.194352738755, ,凤宾路,False,234288109, ,2497068257, ,304.81358003428767,31.605802899999997,120.2891693,120.28759939999999,2497068257
1644, , ,2501404571,secondary,0,2,337.2531600089417, ,广瑞路,True,41419909, ,2501403009, ,337.7620006040217,31.601085100000002,120.31929380000001,120.3160915,2501403009
1645, , ,2501404570,primary,0,2,4.535092518726172, ,江海东路,True,83027360, ,2501404571, ,4.527502410635551,31.6011225,120.3193129,120.31929380000001,2501404571
1648, , ,2501404571,primary,0,2,6.996941001864368, ,江海东路,True,83027360, ,2501404572, ,6.996911897220067,31.601085100000002,120.31929380000001,120.3193458,2501404572
1649, , ,2506176053,residential,0, ,792.6187732939118, ,新惠路,False,234278928, ,2506176046, ,792.8495702876207,31.595757799999998,120.268425,120.27452579999999,2506176046
1650, , ,2506176065,residential,0, ,22.693114264330816, ,新惠路,False,234278928, ,2506176053, ,22.722147209782754,31.5958538,120.2682183,120.268425,2506176053
1652, , ,2513680700,primary,0,2,66.81624962492342, ,太湖大道,True,244013097, ,2513697766, ,66.77467658599457,31.568338800000003,120.3245601,120.3249692,2513697766
1653, , ,2513680736,primary,0,2,398.2555267400289, ,太湖大道,True,"[244013097, 422925789, 244013095]", ,2513680700,yes,398.6464799035449,31.5663821,120.3210393,120.3245601,2513680700
1654, , ,4226475501,primary,0,2,95.88468411565373, ,太湖大道,True,422925789, ,2513680736, ,96.08305877219088,31.566186699999996,120.32006740000001,120.3210393,2513680736
